k     ||Uk - u*||               ||Uk - u*||/||U0 - u*||   ||Uk - U(k-1)||          
1     2.0                       1.0                       0.9444336891174316       
151   2.0                       1.0                       0.0016874305739224549    
301   2.0                       1.0                       0.00048850240699716      
451   2.0                       1.0                       0.00021090155087757911   
601   2.0                       1.0                       0.00010044700487621405   
751   2.0                       1.0                       4.869790831593668e-05    
901   2.0                       1.0                       2.3608403244834708e-05   
1051  2.0                       1.0                       1.1445163339035558e-05   
1201  2.0                       1.0                       5.548522163140168e-06    
1351  2.0                       1.0                       2.689878430550685e-06    
1501  2.0                       1.0                       1.3040311916956426e-06   
1651  2.0                       1.0                       6.321837186240575e-07    
1801  2.0                       1.0                       3.0647752649604065e-07   
1951  2.0                       1.0                       1.4857781291399696e-07   
2101  2.0                       1.0                       7.202931562311221e-08    
2251  2.0                       1.0                       3.4919226510332635e-08   
2401  2.0                       1.0                       1.6928557056150595e-08   
2551  2.0                       1.0                       8.20682688473795e-09     
2701  2.0                       1.0                       3.978602947096732e-09    
2851  2.0                       1.0                       1.9287943464618706e-09   
